Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,243.00055301796328,9.029623526666667,-1.5214520055666667,3.7540857923333335
1950-1979,1950,2,187.70800431954765,9.664684186666667,-1.4990959376666666,4.082794142
1950-1979,1950,3,194.7782311463426,11.536526233333332,-0.6335379365,5.451494193333333
1950-1979,1950,4,88.68971064656081,14.840427283333334,1.4630962516666666,8.151761836666667
1950-1979,1950,5,69.47091020851343,19.115590666666666,4.862848513333334,11.989219616666666
1950-1979,1950,6,10.983845422750308,24.007781033333334,8.31144407,16.15961265
1950-1979,1950,7,2.4367272567585467,29.2744482,12.560292016666667,20.917370066666663
1950-1979,1950,8,7.236744519372824,28.67258946666667,11.827518783333334,20.2500541
1950-1979,1950,9,26.221492055009808,25.313870133333335,9.486071856666666,17.399971100000002
1950-1979,1950,10,65.63094427849755,20.221591216666663,5.739183183333334,12.980387133333332
1950-1979,1950,11,128.0676361078286,12.5970565,0.4910376553333334,6.544047073333333
1950-1979,1950,12,270.5320713885072,9.05519666,-1.4401997514666667,3.8074984756666668
1951-1980,1951,1,239.51458619049657,9.226848116666668,-1.4355509902333334,3.895648592333333
1951-1980,1951,2,189.31291843773832,9.629624186666666,-1.589592995,4.020015608666666
1951-1980,1951,3,194.26457317780202,11.549023533333333,-0.5961229891666666,5.476450316666667
1951-1980,1951,4,91.8470259519535,14.62809415,1.3247724433333334,7.976433393333334
1951-1980,1951,5,60.888588007648345,19.097852,4.8220017833333335,11.95992695
1951-1980,1951,6,11.728100375174252,23.8991923,8.226480503333333,16.06283648333333
1951-1980,1951,7,2.490240630260272,29.224524066666667,12.520989850000001,20.87275693333333
1951-1980,1951,8,7.772690385597609,28.728917366666668,11.88511255,20.30701486666667
1951-1980,1951,9,22.452964698934732,25.352311466666666,9.503021723333335,17.427666733333336
1951-1980,1951,10,73.90910952939213,20.03189375,5.646470423333333,12.839182033333334
1951-1980,1951,11,132.4841770960317,12.512311516666667,0.44775597866666667,6.48003374
1951-1980,1951,12,270.4831862577199,8.93242836,-1.5108293808,3.7107995056666665
1952-1981,1952,1,219.6151597048149,9.405337916666667,-1.3562713302333333,4.024533325666667
1952-1981,1952,2,181.59273291110873,9.919949376666667,-1.427438294,4.24625555
1952-1981,1952,3,192.36247208260016,11.700791066666666,-0.5067169258333333,5.597037123333333
1952-1981,1952,4,94.46426040286423,14.550618116666667,1.28376536,7.91719186
1952-1981,1952,5,64.2226295584618,19.1138031,4.8904952066666665,12.002149183333334
1952-1981,1952,6,13.383312507535425,23.783162466666667,8.155959336666667,15.969560949999998
1952-1981,1952,7,2.675352162640066,29.144857000000002,12.47180005,20.80832846666667
1952-1981,1952,8,7.8969426318855485,28.636975633333336,11.8191221,20.228048766666667
1952-1981,1952,9,25.15376892315319,25.364967766666666,9.523942356666668,17.4444552
1952-1981,1952,10,80.01478419970175,19.967106583333337,5.60567944,12.786392966666666
1952-1981,1952,11,127.38503584107661,12.584449416666667,0.37641356533333337,6.480431463333333
1952-1981,1952,12,281.3811037920413,8.95823607,-1.4636604908,3.7472878056666667
1953-1982,1953,1,235.5560992724318,9.34739955,-1.3411421769,4.003128712333333
1953-1982,1953,2,190.46873430800977,9.783728376666666,-1.4367672657666666,4.173480566666667
1953-1982,1953,3,194.73767324095905,11.6291469,-0.5074722558333333,5.5608373633333334
1953-1982,1953,4,95.49930282726025,14.34916575,1.16451327,7.7568396
1953-1982,1953,5,65.59297283417939,19.033751866666666,4.868322806666667,11.95103735
1953-1982,1953,6,12.97381780333469,23.834463466666666,8.212268103333333,16.023365849999998
1953-1982,1953,7,2.8591105261785628,29.101820033333336,12.45230945,20.777064666666664
1953-1982,1953,8,7.900567236828187,28.5184058,11.7386042,20.128504866666667
1953-1982,1953,9,26.93164712646476,25.189765266666665,9.4092512,17.2995084
