Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,182.6877922070137,4.64171238,-6.5783939233333335,-0.9683407587333334
1950-1979,1950,2,175.47270918832643,4.942018431999999,-6.691535099999999,-0.8747583297
1950-1979,1950,3,117.83542299674902,6.21138,-5.943233833333333,0.13407307929333337
1950-1979,1950,4,102.34582649528848,8.828537476666666,-3.776568007333333,2.5259847738
1950-1979,1950,5,39.27996465466296,13.497403816666667,0.17051901299999997,6.833961503333333
1950-1979,1950,6,12.648609084728113,19.788407566666667,5.255814083333333,12.522110666666666
1950-1979,1950,7,11.094843232971309,23.87993253333333,8.625367326666666,16.25265
1950-1979,1950,8,11.695304708664025,23.068125266666666,7.4844801033333335,15.276302566666667
1950-1979,1950,9,13.588734519420104,19.837700733333335,4.8865342536666665,12.3621175
1950-1979,1950,10,34.639577689878074,15.154656566666667,0.9623278623333333,8.058492216666668
1950-1979,1950,11,103.4791854938137,7.78448123,-4.892177113333333,1.4461520825333334
1950-1979,1950,12,120.34701164584531,5.1029385197,-6.37455937,-0.635810408
1951-1980,1951,1,182.75895537566097,4.69973047,-6.52550921,-0.9128893587333333
1951-1980,1951,2,173.81734975462743,5.053814585333333,-6.60316272,-0.7746740630333334
1951-1980,1951,3,118.91100739206624,6.152446833333333,-6.00403825,0.07420428262666669
1951-1980,1951,4,101.18169629573909,8.84228241,-3.753854497333333,2.5442139871333334
1951-1980,1951,5,39.903308969395646,13.396546366666666,0.10365406999999999,6.7501002833333335
1951-1980,1951,6,13.470620614980968,19.6341845,5.146235416666667,12.390209800000001
1951-1980,1951,7,10.853937956565366,23.8431153,8.596811676666666,16.2199636
1951-1980,1951,8,9.606865908029812,23.177772766666667,7.557316993333333,15.367544766666667
1951-1980,1951,9,13.11457497132368,20.0747389,5.095153786666667,12.584946333333333
1951-1980,1951,10,39.28304147159965,14.948800266666666,0.8482908123333334,7.89854555
1951-1980,1951,11,104.20771289005562,7.833068053333333,-4.85141108,1.4908285125333334
1951-1980,1951,12,128.15009920660373,4.863682706366666,-6.52250669,-0.829411988
1952-1981,1952,1,192.8932836767755,4.557914569999999,-6.582292499999999,-1.0121889587333333
1952-1981,1952,2,157.90437933585977,5.081505011999999,-6.54314336,-0.7308191730333333
1952-1981,1952,3,117.28903759988448,6.130818733333333,-6.010547683333333,0.06013552016666668
1952-1981,1952,4,100.10495065102734,8.992579093333335,-3.649764320666667,2.6714074108
1952-1981,1952,5,37.681468199606485,13.441740933333334,0.147072818,6.79440695
1952-1981,1952,6,13.110580935941693,19.67166716666667,5.182649373333334,12.427158133333334
1952-1981,1952,7,9.624881032641538,23.914769866666667,8.626784543333335,16.27077733333333
1952-1981,1952,8,10.351501982092579,23.202573700000002,7.5855756266666665,15.394074566666665
1952-1981,1952,9,11.5941216176636,20.104593666666666,5.105512446666666,12.605053066666667
1952-1981,1952,10,39.40476201197159,14.951080066666666,0.852565379,7.901822733333334
1952-1981,1952,11,104.68256974028726,7.84894732,-4.794598966666666,1.5271741925333333
1952-1981,1952,12,131.76886919649388,4.7209844197,-6.574120556666667,-0.9265680613333334
1953-1982,1953,1,191.62123755103048,4.44593177,-6.657290153333333,-1.1056791944
1953-1982,1953,2,166.04830029899858,5.002498078666666,-6.578525626666666,-0.7880137730333333
1953-1982,1953,3,118.21254144648832,6.128458366666666,-5.995092583333333,0.0666828835
1953-1982,1953,4,98.01229486685743,9.060227493333334,-3.6054657973333333,2.7273808774666666
1953-1982,1953,5,37.34775539610814,13.5423332,0.21878087333333335,6.8805570933333335
1953-1982,1953,6,13.401046636363759,19.763665433333337,5.242615736666666,12.503140466666668
1953-1982,1953,7,9.19764111481848,23.94006956666667,8.642950993333333,16.2915104
1953-1982,1953,8,10.34760735061494,23.277502366666667,7.648969883333334,15.463236
1953-1982,1953,9,11.714448630554127,20.078692,5.098099986666667,12.588396
1953-1982,1953,10,40.332682961966434,14.888464133333335,0.8268005338666667,7.857632333333333
1953-1982,1953,11,105.2960281371189,7.676068983333334,-4.943909966666666,1.3660795192
1953-1982,1953,12,141.97626996257745,4.773720686366667,-6.436716323333333,-0.8314978193333334
1954-1983,1954,1,195.90805651391443,4.41885292,-6.670489243333334,-1.1258181660666666
1954-1983,1954,2,170.0502439468218,4.997093982,-6.574575126666667,-0.7887405763666666
1954-1983,1954,3,113.88391902354981,6.281431586666667,-5.871326229999999,0.20505266683333334
1954-1983,1954,4,99.81633087646223,9.05850106,-3.614823887333333,2.7218386174666667
1954-1983,1954,5,38.20755939300805,13.481668366666668,0.17335970433333334,6.827514103333333
1954-1983,1954,6,14.129488987720247,19.671555566666665,5.195455143333334,12.433505223333333
