Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,77.24715380526726,11.587684959999999,2.9540979849999998,7.2708913866666665
1950-1979,1950,2,61.42916875170091,14.226773383333333,4.569431186666667,9.398102230000001
1950-1979,1950,3,45.77920391851082,16.874880083333334,5.37676773,11.125823846666666
1950-1979,1950,4,28.687938329991255,19.586341899999997,7.012500466666666,13.2994211
1950-1979,1950,5,12.117287534814615,23.70852723333333,10.167954456666667,16.9382408
1950-1979,1950,6,3.1134658592644273,27.935952699999998,13.56787945,20.751915933333333
1950-1979,1950,7,0.5359851233664658,31.7930734,16.572158116666667,24.1826157
1950-1979,1950,8,0.9246686475389726,31.085629,16.079453533333332,23.582541166666665
1950-1979,1950,9,4.999248814783679,28.992263933333334,14.918567683333332,21.95541593333333
1950-1979,1950,10,14.632990429015194,23.134111333333333,10.353088203333334,16.74359971666667
1950-1979,1950,11,33.95710539200662,16.1828636,5.5898268133333335,10.886345003333334
1950-1979,1950,12,60.28916069310448,12.005085233333334,3.4452406216666662,7.72516291
1951-1980,1951,1,73.2582600406163,11.615855593333333,2.9911849349999997,7.303520173333333
1951-1980,1951,2,61.89585452960587,14.241310216666667,4.6241864433333335,9.432748263333334
1951-1980,1951,3,46.08605470846328,16.856038416666667,5.365684553333334,11.110861463333332
1951-1980,1951,4,29.02696627685993,19.6754694,7.07988212,13.377675666666667
1951-1980,1951,5,12.066515330088537,23.73805863333333,10.230086356666668,16.984072466666667
1951-1980,1951,6,3.4720150959856255,27.952736233333333,13.643338583333334,20.798037266666665
1951-1980,1951,7,0.5385222436517272,31.6283228,16.454803616666666,24.041563133333334
1951-1980,1951,8,0.9261823751167392,31.0573561,16.058488133333334,23.557922
1951-1980,1951,9,5.544743730063786,28.9393008,14.928837116666667,21.934069066666666
1951-1980,1951,10,14.438079896603,23.1814812,10.431956103333334,16.806718616666664
1951-1980,1951,11,34.316883628042504,16.250027633333335,5.65060068,10.95031397
1951-1980,1951,12,59.65882667923461,12.0473073,3.4824994216666667,7.764903343333333
1952-1981,1952,1,75.86893284034636,11.650492593333333,3.041714288333333,7.34610334
1952-1981,1952,2,61.13144424591228,14.21604365,4.6063223566666665,9.411182963333335
1952-1981,1952,3,45.17217723943132,16.902736116666667,5.3953638533333335,11.14904998
1952-1981,1952,4,28.924617387117724,19.596274233333336,7.026270873333333,13.311272466666667
1952-1981,1952,5,10.103457957816884,23.744941100000002,10.214044156666667,16.9794926
1952-1981,1952,6,3.4069255309483655,27.929974133333335,13.611636416666666,20.770805166666666
1952-1981,1952,7,0.5385222436517272,31.703193166666665,16.505572116666666,24.10438256666667
