Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,210.63107079438342,11.463836216666667,1.6800751706666666,6.571955653333333
1950-1979,1950,2,173.15348194585232,12.77418906,2.082257482,7.428223263333334
1950-1979,1950,3,178.24583139982016,15.355429249999998,3.4797835520000002,9.417606516666666
1950-1979,1950,4,88.6000683363507,18.671978466666665,5.2725571166666665,11.97226767
1950-1979,1950,5,33.544174322350784,23.8294926,8.871988163333333,16.350740350000002
1950-1979,1950,6,10.204761631595776,29.2129338,12.6875544,20.950243999999998
1950-1979,1950,7,2.302003404356942,32.80395336666667,15.493382983333333,24.148668133333334
1950-1979,1950,8,1.6371282481767186,32.417807833333335,14.895532383333334,23.656670266666666
1950-1979,1950,9,10.25110776002725,29.30315703333333,12.747717683333333,21.02543723333333
1950-1979,1950,10,65.83353397356616,23.443217066666666,9.030154900000001,16.236685916666666
1950-1979,1950,11,155.9958529171795,15.332211533333332,4.053276265,9.692743816666667
1950-1979,1950,12,216.63918512803158,12.203993326666668,2.3916374856666662,7.297815416666666
1951-1980,1951,1,202.25216018153876,11.38376795,1.5866135673333335,6.4851907
1951-1980,1951,2,173.31968402368346,12.840420226666668,2.141758145333333,7.49108921
1951-1980,1951,3,177.75790407696888,15.300821916666667,3.425514575333333,9.363168349999999
1951-1980,1951,4,88.9484615728622,18.61524163333333,5.236848656666667,11.926045036666666
1951-1980,1951,5,32.46981249108469,23.9074381,8.93061803,16.419028049999998
1951-1980,1951,6,11.346461025426398,29.064920866666668,12.581560866666667,20.823240766666668
1951-1980,1951,7,2.302003404356942,32.7669176,15.49208195,24.1294997
1951-1980,1951,8,1.981103578600895,32.44328513333333,14.935801916666666,23.68954366666667
1951-1980,1951,9,10.228294116590126,29.2043535,12.696648616666666,20.950500933333334
1951-1980,1951,10,66.80374895432378,23.382283266666665,9.018817466666667,16.200550316666668
1951-1980,1951,11,160.96757605513446,15.272031966666667,4.058892191666667,9.665461950000001
1951-1980,1951,12,218.82905541774062,12.28320376,2.417415847333333,7.350309816666667
1952-1981,1952,1,200.90878128701368,11.561158650000001,1.7534733783333332,6.65731596
1952-1981,1952,2,181.02806586687285,12.765789893333334,2.1638705453333333,7.4648302766666665
1952-1981,1952,3,181.2413236671521,15.302451616666668,3.445234818666667,9.373843316666667
1952-1981,1952,4,88.2530647611065,18.631302899999998,5.270112023333334,11.950707336666666
1952-1981,1952,5,32.38559744443981,23.923181933333336,8.933677246666667,16.42842955
1952-1981,1952,6,11.37434024933384,28.966304066666666,12.503389033333333,20.7348464
1952-1981,1952,7,2.2916877394497033,32.8384281,15.503589916666668,24.171008933333333
1952-1981,1952,8,1.9883910175402482,32.370108,14.856102816666667,23.613105566666665
1952-1981,1952,9,10.250700296952163,29.015818833333334,12.579933333333335,20.797875966666666
1952-1981,1952,10,66.39591045030427,23.291305299999998,8.945915966666666,16.11861055
1952-1981,1952,11,156.3915579044307,15.395138033333334,4.124120668333333,9.759629216666667
1952-1981,1952,12,224.19747461238163,12.14759366,2.3590894000000002,7.25334153
1953-1982,1953,1,208.61145453831452,11.426382716666666,1.6947035983333334,6.560543093333333
1953-1982,1953,2,183.51677569727096,12.762496926666667,2.1782013486666667,7.4703492
1953-1982,1953,3,185.1925490246893,15.300849516666666,3.4666198820000003,9.383734783333333
