Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,125.37342999914722,4.84680182,-6.51118836,-0.8321933053333334
1950-1979,1950,2,147.46501769228428,5.4556872003666665,-6.594100046666667,-0.5692063922666667
1950-1979,1950,3,102.64297907184007,7.278816356666667,-5.58165334,0.8485815232333334
1950-1979,1950,4,84.6949006494215,9.918727703333333,-3.164185627666667,3.3772710040000002
1950-1979,1950,5,30.366235609887774,14.660027600000001,1.066796672,7.863412106666667
1950-1979,1950,6,9.929878903527559,20.088345466666667,5.6783390633333335,12.883342266666666
1950-1979,1950,7,10.009961736343625,24.362083900000002,9.267741353333333,16.814912733333333
1950-1979,1950,8,8.872034199779568,23.955639766666664,8.36601041,16.1608251
1950-1979,1950,9,10.831723664866082,20.9566158,5.834273616666667,13.395444733333333
1950-1979,1950,10,44.49683779008171,15.048715616666668,0.9503761926666667,7.999545936666666
1950-1979,1950,11,99.01512860646307,8.309728426666666,-4.3278075000000005,1.9909604982
1950-1979,1950,12,150.8045765555556,5.098237344666667,-6.220794266666667,-0.5612784378000001
1951-1980,1951,1,139.94780601600587,4.77063316,-6.550298916666667,-0.889832902
1951-1980,1951,2,149.67470506554542,5.2898333270333335,-6.754992093333333,-0.7325793622666666
1951-1980,1951,3,101.97582246759056,7.336742423333333,-5.544765010000001,0.8959887199000001
1951-1980,1951,4,83.72160140644641,9.85843757,-3.225584851,3.316426337333333
1951-1980,1951,5,31.07971468067741,14.618886433333333,1.0428144253333334,7.830850373333333
1951-1980,1951,6,9.799267465105904,20.035339333333333,5.645913553333333,12.840626466666667
1951-1980,1951,7,9.444663961328775,24.353245066666666,9.26858362,16.8109145
1951-1980,1951,8,8.863587031746084,23.888778300000002,8.323192043333332,16.1059852
1951-1980,1951,9,10.769310239725252,20.911557533333333,5.7949240500000005,13.353240833333333
1951-1980,1951,10,44.99575934154724,15.04856605,0.9954983026666666,8.02203221
1951-1980,1951,11,98.97253301397389,8.413543193333334,-4.204797303333334,2.1043729982
1951-1980,1951,12,154.09108834993694,4.961233511333333,-6.325329193333333,-0.6820478111333333
