Year,Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
2015,1,423.2365109769244,8.927691,-0.76560175,4.0810447
2015,2,265.795971606993,12.249476,1.3864323,6.8179545
2015,3,140.35407691658793,11.918628,-0.6043361,5.657145
2015,4,9.703980216133397,21.328583,5.2393622,13.283971
2015,5,48.75739900663799,20.499174,4.933234,12.716203
2015,6,14.266720117770092,25.978703,9.134023,17.556362
2015,7,7.666692490803346,30.798943,12.1566305,21.477785
2015,8,1.1669298069525698,28.899828,9.709332,19.304579
2015,9,0.007555617428942326,26.899212,8.389476,17.644344
2015,10,112.64819593944765,17.161205,2.7201784,9.940693
2015,11,84.20178909470408,11.284021,-0.8609439,5.2115383
2015,12,303.771645401414,8.024092,-1.1927207,3.415686
2016,1,101.11105589709861,7.2667875,-2.9650533,2.150867
2016,2,23.326304758250547,10.589069,-2.0749893,4.2570405
2016,3,228.17354496733122,10.674988,-1.3277104,4.6736383
2016,4,68.91040127909352,14.072847,0.52353704,7.2981925
2016,5,95.78544573406812,18.652473,4.57267,11.61257
2016,6,4.6899410093295835,27.754301,9.8022,18.778252
2016,7,0.5553911347097479,29.630373,10.659688,20.145031
2016,8,0.16776732759301985,31.398968,11.970783,21.684875
2016,9,3.638562580164055,30.644484,12.248043,21.446262
2016,10,95.99342702390322,20.955444,5.91441,13.434927
2016,11,51.07771764432811,13.621298,0.38004202,7.000671
2016,12,288.579999909419,5.923665,-4.515419,0.7041232
2017,1,222.41844088442613,11.13848,0.6469822,5.892731
2017,2,257.6845088909359,10.894587,0.80275416,5.8486705
2017,3,247.16263982006504,9.456831,-1.5169103,3.9699605
2017,4,81.78533040652886,13.071262,-0.6965815,6.187341
2017,5,62.22556042316513,19.140167,3.7104383,11.425303
2017,6,8.32713979208678,27.697239,9.528223,18.61273
2017,7,0.15358878384127228,32.704636,13.076853,22.890747
2017,8,4.0016891203135705,28.890013,9.885854,19.38793
2017,9,9.42078674199217,25.018356,7.8744226,16.44639
2017,10,61.03150879168617,19.2858,3.7065887,11.496193
2017,11,213.90670223069918,9.684903,-1.8847663,3.9000685
2017,12,58.48493823262427,7.8901997,-3.5162306,2.1869845
2018,1,482.80364821154456,9.868944,0.3725112,5.1207275
2018,2,71.1418116137671,10.014701,-1.0523074,4.481197
2018,3,87.27788205767354,15.1659355,1.9825367,8.574237
2018,4,83.98028739615408,14.75145,1.469053,8.110251
2018,5,64.48319348311762,19.432493,4.420984,11.926741
2018,6,33.80469144109052,24.887415,8.424021,16.655718
2018,7,0.9807467274384969,29.57442,11.0796995,20.327059
2018,8,1.1340477936960849,29.036026,10.39758,19.7168
2018,9,16.52081498669296,27.43748,9.738311,18.587896
2018,10,18.842695193647053,21.152311,5.500849,13.32658
2018,11,57.67973592805616,16.07323,2.237142,9.155185
2018,12,64.53041674350928,9.773877,-1.1481378,4.3128695
2019,1,116.88003152857246,11.055412,-0.11645931,5.4694767
2019,2,195.7419799051194,11.006565,0.85046476,5.9285145
2019,3,95.31490888288195,12.973047,0.030093163,6.5015707
2019,4,18.812039395979536,19.52797,3.9473617,11.737664
2019,5,25.68493834359308,22.711575,6.317058,14.514316
2019,6,22.534234166767007,26.343714,9.352009,17.847864
2019,7,2.836641996165665,31.61236,12.742809,22.177584
2019,8,0.04162330566006183,32.58024,13.234273,22.907253
2019,9,0.3475673789572635,29.280914,10.49847,19.889692
2019,10,13.85752432049168,21.332825,5.156963,13.244898
2019,11,115.28903813991563,12.625912,-0.038045496,6.293933
2019,12,341.6799329879547,8.669172,-0.18865079,4.24026
2020,1,188.58720617567138,5.575519,-3.69203,0.9417448
2020,2,149.8595176155375,9.226656,-2.2556758,3.4854896
2020,3,136.67317833333826,12.736268,-0.8481138,5.944076
