Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,166.95029755031555,7.571579798997768,-3.154796104782827,2.208391854686523
1950-1979,1950,2,199.72376015261713,8.810011289744239,-2.524631003797294,3.142690146498467
1950-1979,1950,3,153.29676673648783,10.694121495708744,-1.7515108997348796,4.4713053028204035
1950-1979,1950,4,87.8861415594503,14.417837349302095,0.3447383686494835,7.381287856174537
1950-1979,1950,5,39.36647472834925,19.442879155865562,3.816937101715403,11.629908109422798
1950-1979,1950,6,20.867370444501464,24.508182179428907,7.689844322934093,16.0990132540948
1950-1979,1950,7,4.963732682395776,29.112276395655904,10.79288130384011,19.95257874105978
1950-1979,1950,8,4.74915245020229,28.540584552107216,9.998713612693335,19.269649039825463
1950-1979,1950,9,21.307124457952728,25.52262918601174,8.031426318222769,16.777027783988967
1950-1979,1950,10,50.06402595742248,19.274969334282126,3.750859915512278,11.512914631321362
1950-1979,1950,11,143.6745106833276,11.892693881602641,-0.6547453243949395,5.61897426680227
1950-1979,1950,12,169.72840110237627,7.2505079626131295,-3.2639686381553243,1.9932696642821413
1951-1980,1951,1,170.31670750556648,7.364885537552331,-3.3153958937986587,2.024744828201906
1951-1980,1951,2,199.02276934959582,8.783339443800173,-2.5261588259100214,3.1285903123704912
1951-1980,1951,3,151.16778745723204,10.856701045127265,-1.6469780507947596,4.6048615059510345
1951-1980,1951,4,83.70544776256118,14.545498330504854,0.4216584447859386,7.4835783840805075
1951-1980,1951,5,39.26380706635712,19.4098098974299,3.7840227776478295,11.596916319979531
1951-1980,1951,6,20.396372569160174,24.439285955516468,7.626738564463279,16.033012263070813
1951-1980,1951,7,5.43021854026305,29.09116138407378,10.7863732207914,19.938767195424827
1951-1980,1951,8,7.340212510286633,28.441321955294498,9.955541674093642,19.19843177745347
1951-1980,1951,9,21.30270697784239,25.370363654166887,7.934994949816428,16.652679331651036
1951-1980,1951,10,49.84481525267963,19.192195374173316,3.692864827142043,11.442530104685298
1951-1980,1951,11,142.98533986623096,11.859565020427816,-0.7159209842303002,5.57182200542646
1951-1980,1951,12,168.18263239314092,7.2146457736725385,-3.305180309715361,1.9547327303228195
1952-1981,1952,1,179.16002338981428,7.372005993937722,-3.28344811047103,2.0442789481934627
1952-1981,1952,2,198.1483111817656,8.80382636573748,-2.488262497340556,3.157781938860262
