Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,169.02429645361897,7.605028342848329,-3.2076693427868164,2.1986794896252984
1950-1979,1950,2,154.58021961872095,8.77276583274037,-2.795755995449111,2.988504908619807
1950-1979,1950,3,115.91964642916888,11.813195663271207,-1.4815635095373767,5.165816066169632
1950-1979,1950,4,92.05339483573438,14.451160688296454,0.3413856944749686,7.3962731899764025
1950-1979,1950,5,41.63943604621351,19.57019652311089,4.019644503703103,11.79492050967462
1950-1979,1950,6,20.577948688104012,24.008938331638625,7.320783201454154,15.664860845834358
1950-1979,1950,7,5.725799427370675,29.017244441161857,10.793170380349494,19.90520738158475
1950-1979,1950,8,7.23420326389583,28.497484111826385,10.153397014162513,19.325440552307654
1950-1979,1950,9,18.570241636693403,24.89593585301576,7.565261538346572,16.23059874406341
1950-1979,1950,10,69.0840860138744,19.230232941367525,3.8848692574300117,11.55755105943521
1950-1979,1950,11,140.35590164080511,10.73251232684192,-1.383558416655402,4.6744769461451225
1950-1979,1950,12,193.20475292722796,7.215115406666192,-3.266397880367399,1.9743587741301232
1951-1980,1951,1,166.00055083711516,7.610836716254863,-3.1879267684923347,2.211454963988886
1951-1980,1951,2,155.12801623544354,8.762481249290866,-2.7721194963134703,2.9951808699508855
1951-1980,1951,3,120.5623070954041,11.767889760004712,-1.466726998133874,5.150581365371267
1951-1980,1951,4,92.7836060835639,14.500764003470655,0.37795593096438307,7.439359965044342
1951-1980,1951,5,42.7909803264627,19.529420068219306,3.9844164960372987,11.756918281835697
1951-1980,1951,6,20.479906068189027,24.014333442157408,7.340450933619591,15.67739226407909
1951-1980,1951,7,6.316535908018267,28.923877755492175,10.75059705968131,19.837237378385442
1951-1980,1951,8,7.246927838633066,28.414947617156436,10.105335626982024,19.260141620433323
1951-1980,1951,9,19.672158011296656,24.705542412733983,7.431964537747239,16.068753523311326
1951-1980,1951,10,68.7498514751395,19.2172961235485,3.8512140340253245,11.534255037232723
1951-1980,1951,11,146.3613700086522,10.649032145813978,-1.3794644012511794,4.634783869582907
1951-1980,1951,12,192.85347890569358,7.212259381282938,-3.278656849103116,1.9668012774713983
1952-1981,1952,1,163.26943303818197,7.495342854260497,-3.2818053596774472,2.106768741144303
1952-1981,1952,2,152.72445744899076,8.822757395470683,-2.766332572410505,3.0282124003819386
1952-1981,1952,3,120.09009189598673,11.684794415400908,-1.535054432031097,5.074869976512392
1952-1981,1952,4,89.24370123939441,14.655669331384054,0.42090690693912697,7.538288121052752
1952-1981,1952,5,42.425257433521665,19.485918572850757,3.934815262196624,11.710366920147262
1952-1981,1952,6,20.3425559849976,24.11470036609561,7.405949990668186,15.76032525810712
1952-1981,1952,7,6.008950727511548,28.919556874558047,10.754999294700019,19.837278054032687
1952-1981,1952,8,6.915573138834504,28.444831590058467,10.115879188904993,19.280355371711714
1952-1981,1952,9,19.71409188210094,24.633836109903978,7.377194193121665,16.00551519883158
1952-1981,1952,10,66.67740584606562,19.163248870677627,3.861857841184991,11.51255332743101
1952-1981,1952,11,153.97792798394923,10.49288753515594,-1.3687929883536911,4.562047268196713
1952-1981,1952,12,190.73773654003287,7.196121936566009,-3.252009437058604,1.972056265750687
1953-1982,1953,1,166.50945784731618,7.496645135871631,-3.2547633349233283,2.1209408944172674
1953-1982,1953,2,153.7408647194012,8.88505114298066,-2.7115481819522382,3.086751469958071
1953-1982,1953,3,121.29497077077173,11.69965812352717,-1.4944092189190727,5.102624437376519
1953-1982,1953,4,88.69806559725528,14.686415091254942,0.46937680422272876,7.577895952941162
1953-1982,1953,5,39.96427762962754,19.504819178486596,3.9447987135993516,11.724808946297724
1953-1982,1953,6,19.68644549635903,24.07761152053956,7.332365743743137,15.70498870660256
1953-1982,1953,7,6.0273735592744035,28.97493909187385,10.786714019965194,19.880826502934518
1953-1982,1953,8,6.885400988043191,28.379079702824832,10.074146376411909,19.226613020654007
1953-1982,1953,9,18.639512611824145,24.691089507333686,7.401829223257577,16.046459403753524
1953-1982,1953,10,66.54725107743391,19.174361058196443,3.851499574549467,11.512930289990285
1953-1982,1953,11,158.357910654308,10.55262147012743,-1.265499336276193,4.643561063447888
1953-1982,1953,12,199.12039546568985,7.123267510767348,-3.2278440958892105,1.9477117223289462
1954-1983,1954,1,165.61850759589618,7.493331348025035,-3.3021927495868915,2.095569293664082
1954-1983,1954,2,151.39973053725356,8.980989091097099,-2.6754692779705826,3.152759896487924
1954-1983,1954,3,123.20594740604619,11.688683485057014,-1.5003759068491564,5.094153779673247
1954-1983,1954,4,89.26821778981578,14.606854856470147,0.42060285559010097,7.513728869837601
1954-1983,1954,5,41.17669094566829,19.404411412304757,3.8628854845400804,11.63364845311398
1954-1983,1954,6,17.900201990470798,24.21801010438342,7.372395072292888,15.79520265032524
1954-1983,1954,7,5.961722284778176,28.79796307579438,10.643427515516096,19.720695235216827
1954-1983,1954,8,7.871486243426674,28.385467004144452,10.113470874139402,19.24946892901403
1954-1983,1954,9,14.603553374983012,24.756538046312915,7.408362586346306,16.082450354070083
1954-1983,1954,10,64.62254517152246,19.342722649413545,3.928083566158015,11.63540307255472
1954-1983,1954,11,155.71013581226705,10.49927645117298,-1.3167187981585193,4.591278830496955
1954-1983,1954,12,191.05581098368228,7.233366646067996,-3.1603499436451066,2.0365083695001744
1955-1984,1955,1,167.9469663297508,7.551528498816928,-3.2462161444441846,2.152656172339355
1955-1984,1955,2,158.02016553520622,8.918988506835486,-2.698241430898679,3.1103735246676307
1955-1984,1955,3,125.9060513084034,11.671916671681721,-1.4845799378137046,5.09366835982407
1955-1984,1955,4,91.06490503916216,14.512726748179244,0.35381009108128186,7.433268434281066
1955-1984,1955,5,42.25668075911464,19.419978098369338,3.8739243051215415,11.64695121075389
1955-1984,1955,6,16.3517103469695,24.311584886055094,7.396837560264827,15.854211278893377
1955-1984,1955,7,6.247789527954028,28.7352297946,10.64624660359134,19.690738155430747
1955-1984,1955,8,9.009812596844762,28.356592035301194,10.116078435573247,19.236335220869787
1955-1984,1955,9,13.63392187613813,24.958545874110182,7.553281582675001,16.255913761794847
1955-1984,1955,10,63.66088341443666,19.36119274670452,3.9581828385228808,11.65968777198282
1955-1984,1955,11,156.66182519426238,10.50772624849358,-1.2899254685222572,4.608900395210484
1955-1984,1955,12,185.4340241974827,7.28671345656905,-3.1641995336096485,2.06125698197391
1956-1985,1956,1,166.00623010978512,7.505482791694777,-3.367990528120793,2.0687461279640016
1956-1985,1956,2,152.79321461843818,8.899080130357351,-2.7492168719136987,3.074931615287023
1956-1985,1956,3,122.46177381779366,11.738812539946105,-1.4660334419927035,5.136389541837464
1956-1985,1956,4,90.43052769722424,14.69980127171179,0.47157578233906955,7.585688545929741
1956-1985,1956,5,41.509513723048414,19.462338272576314,3.879357845930557,11.670848071148987
1956-1985,1956,6,13.877190117532475,24.613617227010575,7.5378150929933,16.07571620993322
1956-1985,1956,7,5.63721385828193,28.796063445731242,10.640319339971281,19.7181913496941
1956-1985,1956,8,8.721902030472608,28.358000540537677,10.121762957005338,19.239881743538497
1956-1985,1956,9,13.63779081062871,24.90246928498265,7.5121321282433495,16.20730074963721
1956-1985,1956,10,61.95699150577086,19.319405277671365,3.900330137070941,11.609867689566375
1956-1985,1956,11,152.70355410315807,10.540684842711476,-1.2865597974021492,4.627062529828814
1956-1985,1956,12,183.56987476068718,7.449406331996136,-2.9877773537660435,2.230814510941474
1957-1986,1957,1,176.14886147467385,7.5234576751500795,-3.282969737183838,2.1202439647908955
1957-1986,1957,2,153.82310292602185,8.806416697042996,-2.81616322517178,2.995126724175821
1957-1986,1957,3,125.66046077049579,11.646872617169569,-1.454830106635788,5.096021245738886
1957-1986,1957,4,89.458212103156,14.673888947830006,0.4407868795495816,7.557337935125109
1957-1986,1957,5,42.105641574703306,19.423244457985955,3.8484422719914004,11.635843371737796
1957-1986,1957,6,13.338478318780233,24.643831187491614,7.538654484025951,16.091242877590016
1957-1986,1957,7,5.866592340526546,28.699624120191494,10.579874419954422,19.63974921866695
1957-1986,1957,8,8.421004952465335,28.34622895932605,10.101271013150756,19.223749991103105
1957-1986,1957,9,13.019985664751456,24.886066254459912,7.505220081806707,16.195643211410022
1957-1986,1957,10,59.70961915997082,19.411827847952623,3.988032685462712,11.699930250825068
1957-1986,1957,11,153.22917825734265,10.576172337045143,-1.2317847259321109,4.672193811383617
1957-1986,1957,12,188.26575077622803,7.333752621977699,-3.0219713381447932,2.1558906589708724
1958-1987,1958,1,182.99785668754404,7.51180488504615,-3.2040152140709584,2.15389483437648
1958-1987,1958,2,155.535006152555,8.888689253578738,-2.7214563177601767,3.083616456859659
1958-1987,1958,3,128.43765456678585,11.489334552137006,-1.5113680561970624,4.988983246628496
1958-1987,1958,4,91.05131629280598,14.585285606418639,0.41364889450076503,7.499467272365531
1958-1987,1958,5,41.031775077543266,19.47854589916489,3.8821880550236396,11.680366975479808
1958-1987,1958,6,13.763824071114747,24.57851904515136,7.519153202042215,16.04883616728009
1958-1987,1958,7,5.3293251970064555,28.754010863671986,10.60482607272821,19.679418403194155
1958-1987,1958,8,8.350316170946785,28.508884024787278,10.20894145388928,19.358912748373566
1958-1987,1958,9,12.865416827304927,25.03605104267531,7.618226223797532,16.32713867802541
1958-1987,1958,10,59.14107205494631,19.38492965840959,3.9717670233924895,11.678348324825318
1958-1987,1958,11,151.06696785373688,10.656600258944954,-1.1940377108981992,4.731281278736359
